1024 1544
2048 3011
4096 3077
8192 5950
16384 8840
32768 15690
65536 29994
131072 55849
262144 113828
524288 235570
1000000 437929
5000000 2412561
10000000 4994283
15000000 5052288
20000000 6060357
25000000 7873216
30000000 9329954
35000000 11153167
40000000 13521241
45000000 14571131
50000000 16382777
